zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
21861,370,680,180,110,14138
21863,2210,4080,1170,700,78468
21864,290,560,170,80,10509
21865,230,400,80,90,7005
21869,440,770,200,120,12816
21871,820,1570,470,250,26553
21872,370,680,190,100,13006
21874,1050,1980,590,230,39015
21875,3100,5920,1900,750,123088
21901,8160,15920,5090,1770,399713
21903,2620,4890,1440,680,125831
21904,3170,6150,1870,800,163053
21911,5110,10310,3350,1200,243472
21912,520,1070,370,140,32067
21913,410,810,280,90,15479
21914,380,700,210,110,14074
21915,1520,2860,780,480,71129
21917,1140,2240,640,290,60380
21918,1960,3820,1060,520,93925
21919,1420,2690,720,480,62561
21920,140,250,70,40,4468
21921,19290,37430,12230,4320,932744
22003,27310,53160,16720,6850,1595319
22015,20680,42710,13970,5340,1476060
22025,8690,17620,5690,2210,553102
22026,8280,17300,6910,980,440993
22027,1030,2230,750,270,128488
22030,25460,48220,14390,5340,1902414
22031,16540,30120,8460,3210,1196988
22032,14020,28930,9330,3940,1047742
22033,18960,36560,11140,3430,1540091
22039,8810,19070,6070,3000,975906
22041,13110,24010,7500,3020,604086
22042,17020,31090,8900,3360,1030272
22043,12000,23090,6930,2550,1015441
22044,6290,11640,3570,1340,368625
22046,8480,17060,5480,2120,824524
22060,3410,9500,4230,470,186854
22066,8210,18130,6170,2580,1337003
22079,15910,32890,11850,2720,1104588
22101,13670,29420,9830,4980,2110694
22102,13000,23430,6150,3020,1798536
22124,8570,18040,5830,2490,1103585
22125,570,930,180,140,45430
22134,2230,4850,1730,50,92810
22150,14460,26960,8270,3870,644020
22151,8640,17010,5290,2090,503576
22152,14090,28930,9550,3500,982949
22153,15090,31760,10430,3700,1131915
22172,4610,9400,3590,640,237221
22180,12440,25130,7840,2850,1238411
22181,6850,14630,4850,1830,752791
22182,12160,25980,8590,3330,1515903
22191,34020,67470,25070,4090,1700278
22192,27750,55870,19060,5430,1696405
22193,38230,78940,29420,5700,2010638
22201,22430,30810,4550,2440,2048387
22202,13710,19320,2680,2100,1144355
22203,13270,19260,3660,2020,1012058
22204,27310,46050,12720,3970,1581615
22205,8400,17540,5730,2120,928306
22206,12140,18880,4040,1740,906100
22207,15000,31290,10280,4190,1997534
22209,7920,10700,1430,1040,662700
22211,500,640,90,0,18694
22213,1720,3370,1010,380,196835
22301,7270,13180,3250,1270,814624
22302,9550,15910,3880,1800,845219
22303,9050,14280,3150,1540,533936
22304,25810,41820,10360,4480,1567685
22305,8640,15070,4450,1070,602084
22306,15720,30160,10550,2680,770247
22307,5460,9810,2490,1660,500596
22308,5950,13580,4680,1920,683364
22309,16370,31370,10470,3410,931144
22310,14820,27870,8080,3160,1070193
22311,9750,16290,4390,1640,470543
22312,15600,28160,8530,2810,824326
22314,19400,29880,5070,4140,1949012
22315,13920,26850,7930,2730,1147117
22401,11680,20860,6670,2230,543531
22405,14740,30650,10510,3210,838746
22406,11630,23840,7980,2910,652710
22407,27450,55680,19080,6170,1365626
22408,14000,28340,9930,2560,741905
22427,1520,2820,810,470,56559
22432,370,680,200,150,9337
22435,1090,2190,780,350,30008
22436,370,680,220,100,12842
22437,310,530,130,110,10268
22438,200,360,100,60,6693
22443,3900,7280,2080,1260,149298
22448,780,1390,360,200,38866
22454,790,1500,440,250,28328
22460,750,1380,420,230,19971
22469,920,1780,620,290,25152
22473,2100,3870,980,930,62590
22476,140,280,100,40,4045
22480,620,1050,140,450,20027
22482,1540,2650,570,740,48060
22485,10650,22270,7650,2160,604866
22488,690,1640,700,210,19606
22503,1660,3030,770,680,49934
22504,120,210,50,50,3627
22508,6520,12930,3620,2270,283621
22511,670,1420,470,270,16444
22514,1120,2140,630,330,42758
22520,2480,4760,1400,880,84127
22534,1320,2650,880,240,60471
22535,320,660,220,90,13885
22538,160,300,80,50,4665
22539,1020,1810,330,590,28822
22542,920,1870,590,210,39971
22546,7880,15710,5310,1510,350879
22551,8980,18440,5930,2170,474848
22553,7330,15060,5190,1610,435408
22554,25370,55290,20840,3690,1684466
22556,12550,27530,10290,1990,806593
