,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
565,13158,27465,7846,9126,5794,8982,53,1525,11,143,4218,1491,1020,1428,559,175,101,2050,3468,501,2363,1223,923,493,1598,96,232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,1540
568,6217,31612,10769,11220,3078,13574,61,4006,26,478,3195,2130,924,1093,263,101,63,4247,6827,801,1741,611,99,115,4753,355,925,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,10560
569,13158,27465,7846,9126,5794,8982,53,1525,11,143,4218,1491,1020,1428,559,175,101,2050,3468,501,2363,1223,923,493,1598,96,232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,35190
570,2818,69375,15312,16662,19625,426,413,1731,42,8095,1687,1965,1221,2570,1895,835,559,3608,10779,1877,3651,1592,337,157,5111,1104,384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,16780
571,1769,16497,3054,3672,262,6131,36,8,0,156,1577,445,242,283,90,12,0,864,2849,278,186,47,13,9,1341,152,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,25160
572,37,57786,638,626,1187,49,6,3,0,4,146,36,147,170,74,0,0,93,460,58,300,28,22,0,253,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,16290
573,8320,64093,13839,2954,8704,6649,36,310,4,907,651,367,410,634,444,212,317,2413,3778,446,1389,651,197,206,165,2,114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,11450
574,4,62404,2134,2002,3970,18,24,14,1,50,306,257,232,531,315,24,0,184,1903,225,324,131,1,34,656,181,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4360
575,1597,54233,28259,30991,29305,23109,203,1476,30,3257,3852,4815,3216,5498,2574,856,289,6459,23643,2559,4670,1990,175,111,8955,1762,1542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,21140
576,4356,16069,4329,2443,2661,3706,33,205,4,45,1759,394,202,203,76,34,57,874,2800,232,406,295,97,62,463,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,11090
578,28793,95556,5381,5729,7568,757,29,2255,5,180,984,596,611,1144,1562,659,812,106,1220,289,3199,1852,841,425,17,221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,5640
580,4525,42337,11736,13143,13454,9466,91,415,22,854,3200,2826,1405,2061,837,298,425,2424,8222,1156,3623,1246,654,292,2284,506,270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,38640
582,33,88926,3088,3191,5735,36,36,109,11,187,343,234,255,523,534,230,344,229,1636,409,1261,468,236,190,906,52,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2060
584,230,47111,16637,13950,24115,5441,96,220,17,148,2560,2604,1048,2545,1377,348,177,2092,10840,1303,3551,1326,279,81,3523,1667,656,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,1850
586,7004,54392,1734,403,1245,825,3,25,1,16,156,92,125,192,47,48,6,282,576,57,462,131,18,50,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,3720
587,4535,23090,10108,11588,10384,10047,45,530,15,227,4243,1389,707,917,448,197,255,1811,4710,518,2734,931,348,184,1701,216,267,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,48050
589,4191,20457,1840,1815,1315,1956,18,236,0,58,976,156,111,169,168,66,73,444,812,48,399,229,149,134,514,19,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,15240
590,151,39893,15452,16832,21442,9911,112,136,9,339,4114,2711,1615,2593,898,391,233,3963,11353,1820,3296,939,60,153,4997,847,263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,16510
593,7321,84297,3698,2892,5382,419,22,569,2,39,772,545,406,905,1152,271,657,416,1214,218,2950,1158,573,166,133,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,15820
